School District,County,Unified School District (USD),Total Population Estimate,Population of Children Age 5-17,Children in Poverty Age 5-17 Related to Head of Household (Number),Children in Poverty Age 5-17 Related to Head of Household (Percent)
   Garnett ,LINN,365  ,"6,767","1,296",182,14.0
   Jayhawk ,LINN,346  ,"3,385",517,103,19.9
   Pleasanton ,LINN,344  ,"2,000",347,48,13.8
   Prairie View ,LINN,362  ,"5,740","1,007",123,12.2
   Leoti ,LOGAN,467  ,"2,139",430,60,14.0
   Oakley ,LOGAN,274  ,"2,690",444,54,12.2
   Scott County ,LOGAN,466  ,"4,834",981,99,10.1
   Triplains ,LOGAN,275  ,470,86,19,22.1
   Wallace County Schools ,LOGAN,241  ,"1,200",195,36,18.5
   Chase County ,LYON,284  ,"2,659",400,55,13.8
   Emporia ,LYON,253  ,"26,884","4,240",607,14.3
   Lebo-Waverly ,LYON,243  ,"2,636",444,36,8.1
   Madison-Virgil ,LYON,386  ,"1,223",220,47,21.4
   Morris County ,LYON,417  ,"4,898",703,105,14.9
   North Lyon County ,LYON,251  ,"3,365",605,62,10.2
   Southern Lyon County ,LYON,252  ,"2,847",539,53,9.8
   Wabaunsee East ,LYON,330  ,"3,139",514,39,7.6
   Canton-Galva ,MCPHERSON,419  ,"2,660",467,24,5.1
   Goessel ,MCPHERSON,411  ,"1,511",255,19,7.5
   Hesston ,MCPHERSON,460  ,"4,563",817,52,6.4
   Inman ,MCPHERSON,448  ,"2,558",477,37,7.8
   Little River ,MCPHERSON,444  ,"1,475",309,28,9.1
   McPherson ,MCPHERSON,418  ,"14,411","2,469",190,7.7
   Moundridge ,MCPHERSON,423  ,"3,443",556,36,6.5
   Smoky Valley ,MCPHERSON,400  ,"6,259","1,007",86,8.5
   Southeast of Saline ,MCPHERSON,306  ,"3,004",586,56,9.6
   Centre ,MARION,397  ,"1,460",288,40,13.9
   Chase County ,MARION,284  ,"2,659",400,55,13.8
   Durham-Hillsboro-Lehigh ,MARION,410  ,"4,108",612,51,8.3
   Goessel ,MARION,411  ,"1,511",255,19,7.5
   Hesston ,MARION,460  ,"4,563",817,52,6.4
   Marion-Florence ,MARION,408  ,"3,324",556,67,12.1
   Newton ,MARION,373  ,"22,470","3,976",419,10.5
   Peabody-Burns ,MARION,398  ,"2,270",396,47,11.9
   Remington-Whitewater ,MARION,206  ,"3,705",746,60,8.0
   Rural Vista ,MARION,481  ,"2,112",341,58,17.0
   Barnes ,MARSHALL,223  ,"2,412",388,52,13.4
   Blue Valley ,MARSHALL,384  ,"1,788",267,18,6.7
   Marysville ,MARSHALL,364  ,"5,152",880,108,12.3
   Nemaha Central,MARSHALL,115  ,"3,942",722,84,11.6
   Onaga-Havensville-Wheaton ,MARSHALL,322  ,"2,243",435,35,8.0
   Prairie Hills,MARSHALL,113  ,"6,678","1,350",134,9.9
   Valley Heights ,MARSHALL,498  ,"2,168",385,49,12.7
   Vermillion ,MARSHALL,380  ,"2,698",470,41,8.7
   Ashland ,MEADE,220  ,"1,107",200,37,18.5
   Copeland ,MEADE,476  ,801,186,12,6.5
   Fowler ,MEADE,225  ,810,145,12,8.3
   Kismet-Plains ,MEADE,483  ,"2,886",691,120,17.4
   Meade ,MEADE,226  ,"1,977",357,40,11.2
   Montezuma ,MEADE,371  ,"1,553",304,42,13.8
   Blue Valley ,MIAMI,229  ,"126,202","26,720",622,2.3
   Gardner Edgerton ,MIAMI,231  ,"27,698","5,234",319,6.1
   Louisburg ,MIAMI,416  ,"9,258","1,746",72,4.1
   Osawatomie ,MIAMI,367  ,"6,900","1,249",194,15.5
   Paola ,MIAMI,368  ,"12,199","2,173",154,7.1
   Prairie View ,MIAMI,362  ,"5,740","1,007",123,12.2
   Spring Hill ,MIAMI,230  ,"12,758","2,586",88,3.4
   Wellsville ,MIAMI,289  ,"4,788",886,46,5.2
   Beloit ,MITCHELL,273  ,"4,748",800,129,16.1
   Lincoln ,MITCHELL,298  ,"2,255",390,50,12.8
   Sylvan Grove ,MITCHELL,299  ,"1,579",235,43,18.3
   Waconda ,MITCHELL,272  ,"2,427",383,59,15.4
   Caney Valley ,MONTGOMERY,436  ,"3,904",749,115,15.4
   Cherryvale ,MONTGOMERY,447  ,"3,892",774,147,19.0
   Coffeyville ,MONTGOMERY,445  ,"12,527","2,088",414,19.8
   Elk Valley ,MONTGOMERY,283  ,723,164,37,22.6
   Fredonia ,MONTGOMERY,484  ,"4,270",722,121,16.8
   Independence ,MONTGOMERY,446  ,"12,252","2,212",418,18.9
   Neodesha ,MONTGOMERY,461  ,"3,238",629,98,15.6
   Centre ,MORRIS,397  ,"1,460",288,40,13.9
   Chase County ,MORRIS,284  ,"2,659",400,55,13.8
   Herington ,MORRIS,487  ,"2,820",455,90,19.8
   Morris County ,MORRIS,417  ,"4,898",703,105,14.9
   Rural Vista ,MORRIS,481  ,"2,112",341,58,17.0
   Elkhart ,MORTON,218  ,"1,978",355,43,12.1
   Rolla ,MORTON,217  ,609,121,25,20.7
   Hiawatha ,NEMAHA,415  ,"5,579",990,147,14.8
   Nemaha Central,NEMAHA,115  ,"3,942",722,84,11.6
   North Jackson ,NEMAHA,335  ,"1,849",326,43,13.2
   Onaga-Havensville-Wheaton ,NEMAHA,322  ,"2,243",435,35,8.0
   Prairie Hills,NEMAHA,113  ,"6,678","1,350",134,9.9
   Vermillion ,NEMAHA,380  ,"2,698",470,41,8.7
   Chanute Public Schools ,NEOSHO,413  ,"10,635","1,860",315,16.9
   Cherokee ,NEOSHO,247  ,"4,412",787,139,17.7
   Cherryvale ,NEOSHO,447  ,"3,892",774,147,19.0
   Chetopa-St. Paul ,NEOSHO,505  ,"2,470",448,85,19.0
   Erie ,NEOSHO,101  ,"3,516",642,164,25.5
   Girard ,NEOSHO,248  ,"5,438","1,039",180,17.3
   LaCrosse ,NESS,395  ,"2,109",311,50,16.1
   Ness City ,NESS,303  ,"1,605",271,25,9.2
   Western Plains ,NESS,106  ,"1,170",174,23,13.2
   Logan ,NORTON,326  ,965,189,24,12.7
   Northern Valley ,NORTON,212  ,839,147,25,17.0
   Norton Community Schools ,NORTON,211  ,"4,728",629,76,12.1
   Oberlin ,NORTON,294  ,"2,677",388,85,21.9
   Auburn-Washburn ,OSAGE,437  ,"33,981","6,271",386,6.2
   Burlingame Public Schools ,OSAGE,454  ,"1,602",306,51,16.7
   Lebo-Waverly ,OSAGE,243  ,"2,636",444,36,8.1
   Lyndon ,OSAGE,421  ,"2,556",472,53,11.2
   Marais des Cygnes Valley ,OSAGE,456  ,"1,514",285,34,11.9
   North Lyon County ,OSAGE,251  ,"3,365",605,62,10.2
   Osage City ,OSAGE,420  ,"3,679",655,118,18.0
   Santa Fe Trail ,OSAGE,434  ,"6,121","1,030",152,14.8
   Shawnee Heights ,OSAGE,450  ,"18,981","3,548",197,5.6
   Wabaunsee East ,OSAGE,330  ,"3,139",514,39,7.6
   West Franklin ,OSAGE,287  ,"4,819",820,100,12.2
   Osborne County ,OSBORNE,392  ,"1,945",302,66,21.9
   Paradise ,OSBORNE,399  ,677,123,25,20.3
   Smith Center ,OSBORNE,237  ,"2,707",379,59,15.6
   Stockton ,OSBORNE,271  ,"1,862",274,40,14.6
   Sylvan Grove ,OSBORNE,299  ,"1,579",235,43,18.3
   Waconda ,OSBORNE,272  ,"2,427",383,59,15.4
   Beloit ,OTTAWA,273  ,"4,748",800,129,16.1
   Clay Center ,OTTAWA,379  ,"7,699","1,370",190,13.9
   North Ottawa County ,OTTAWA,239  ,"3,252",546,62,11.4
   Solomon ,OTTAWA,393  ,"1,921",352,31,8.8
   Southern Cloud ,OTTAWA,334  ,"1,375",249,44,17.7
   Twin Valley ,OTTAWA,240  ,"2,432",437,49,11.2
   Fort Larned ,PAWNEE,495  ,"6,219",749,97,13.0
   Macksville ,PAWNEE,351  ,"1,261",250,47,18.8
   Pawnee Heights ,PAWNEE,496  ,596,76,9,11.8
   Logan ,PHILLIPS,326  ,965,189,24,12.7
   Northern Valley ,PHILLIPS,212  ,839,147,25,17.0
   Phillipsburg ,PHILLIPS,325  ,"3,327",542,76,14.0
   Thunder Ridge ,PHILLIPS,110  ,"1,566",254,41,16.1
   Blue Valley (Randolph-Olsburg),POTTAWATOMIE,384  ,"1,788",267,18,6.7
   Kaw Valley ,POTTAWATOMIE,321  ,"8,199","2,179",186,8.5
   Manhattan ,POTTAWATOMIE,383  ,"63,014","6,400",770,12.0
   Onaga-Havensville-Wheaton ,POTTAWATOMIE,322  ,"2,243",435,35,8.0
   Riley County ,POTTAWATOMIE,378  ,"4,708",808,77,9.5
   Rock Creek ,POTTAWATOMIE,323  ,"5,653","1,103",74,6.7
   Vermillion ,POTTAWATOMIE,380  ,"2,698",470,41,8.7
   Wamego ,POTTAWATOMIE,320  ,"8,303","1,613",157,9.7
   Barber County North ,PRATT,254  ,"3,014",527,96,18.2
   Cunningham ,PRATT,332  ,"1,231",142,24,16.9
   Fairfield ,PRATT,310  ,"2,365",413,63,15.3
   Haviland ,PRATT,474  ,871,133,28,21.1
   Macksville ,PRATT,351  ,"1,261",250,47,18.8
   Pratt ,PRATT,382  ,"7,996","1,378",178,12.9
   Skyline Schools ,PRATT,438  ,"1,099",228,38,16.7
   Stafford ,PRATT,349  ,"1,356",202,50,24.8
   Brewster ,RAWLINS,314  ,586,99,7,7.1
   Cheylin ,RAWLINS,103  ,"1,051",147,34,23.1
   Colby Public Schools ,RAWLINS,315  ,"6,544","1,036",91,8.8
   Golden Plains ,RAWLINS,316  ,781,162,22,13.6
   Rawlins County ,RAWLINS,105  ,"2,115",325,63,19.4
   Buhler ,RENO,313  ,"12,488","2,232",241,10.8
   Burrton ,RENO,369  ,"1,389",268,47,17.5
   Chase-Raymond ,RENO,401  ,844,154,32,20.8
   Fairfield ,RENO,310  ,"2,365",413,63,15.3
   Haven Public Schools ,RENO,312  ,"5,833","1,131",158,14.0
   Hutchinson Public Schools ,RENO,308  ,"33,278","5,236",789,15.1
   Kingman-Norwich ,RENO,331  ,"5,689",994,163,16.4
   Nickerson ,RENO,309  ,"7,073","1,160",166,14.3
   Pretty Prairie ,RENO,311  ,"1,535",252,36,14.3
   Renwick ,RENO,267  ,"8,620","2,242",124,5.5
   Sterling ,RENO,376  ,"2,961",446,59,13.2
   Clifton-Clyde ,REPUBLIC,224  ,"1,789",283,37,13.1
   Concordia ,REPUBLIC,333  ,"6,446","1,074",166,15.5
   North Central-Washington Schools ,REPUBLIC,108  ,"2,475",377,41,10.9
   Pike Valley ,REPUBLIC,426  ,"1,100",200,27,13.5
   Republic County-Hillcrest Rural Schools ,REPUBLIC,109  ,"3,563",534,106,19.9
   Central Plains,RICE,112  ,"3,514",570,56,9.8
   Chase-Raymond ,RICE,401  ,844,154,32,20.8
   Ellsworth ,RICE,327  ,"4,455",590,63,10.7
   Inman ,RICE,448  ,"2,558",477,37,7.8
   Little River ,RICE,444  ,"1,475",309,28,9.1
   Lyons ,RICE,405  ,"3,934",683,107,15.7
   Nickerson ,RICE,309  ,"7,073","1,160",166,14.3
   Sterling ,RICE,376  ,"2,961",446,59,13.2
   Blue Valley (Randolph-Olsburg),RILEY,384  ,"1,788",267,18,6.7
   Clay Center ,RILEY,379  ,"7,699","1,370",190,13.9
   Geary County Schools ,RILEY,475  ,"39,682","7,334","1,167",15.9
   Manhattan ,RILEY,383  ,"63,014","6,400",770,12.0
   Mill Creek Valley ,RILEY,329  ,"3,522",624,46,7.4
   Riley County ,RILEY,378  ,"4,708",808,77,9.5
   Rock Creek ,RILEY,323  ,"5,653","1,103",74,6.7
   Valley Heights ,RILEY,498  ,"2,168",385,49,12.7
   Wamego ,RILEY,320  ,"8,303","1,613",157,9.7
   Logan ,ROOKS,326  ,965,189,24,12.7
   Osborne County ,ROOKS,392  ,"1,945",302,66,21.9
   Palco ,ROOKS,269  ,779,139,24,17.3
   Paradise ,ROOKS,399  ,677,123,25,20.3
   Plainville ,ROOKS,270  ,"2,345",404,47,11.6
   Stockton ,ROOKS,271  ,"1,862",274,40,14.6
   Hays ,RUSH,489  ,"24,076","3,588",395,11.0
   LaCrosse ,RUSH,395  ,"2,109",311,50,16.1
   Otis-Bison ,RUSH,403  ,"1,332",217,30,13.8
   Pawnee Heights ,RUSH,496  ,596,76,9,11.8
   Victoria ,RUSH,432  ,"1,913",347,27,7.8
   Central Plains,RUSSELL,112  ,"3,514",570,56,9.8
   Paradise ,RUSSELL,399  ,677,123,25,20.3
   Russell County ,RUSSELL,407  ,"5,672",923,165,17.9
   Sylvan Grove ,RUSSELL,299  ,"1,579",235,43,18.3
   Ell-Saline ,SALINE,307  ,"1,743",315,25,7.9
   Salina ,SALINE,305  ,"48,175","8,091","1,210",15.0
   Smoky Valley ,SALINE,400  ,"6,259","1,007",86,8.5
   Solomon ,SALINE,393  ,"1,921",352,31,8.8
   Southeast of Saline ,SALINE,306  ,"3,004",586,56,9.6
   Twin Valley ,SALINE,240  ,"2,432",437,49,11.2
   Healy Public Schools ,SCOTT,468  ,303,59,10,16.9
   Scott County ,SCOTT,466  ,"4,834",981,99,10.1
   Andover ,SEDGWICK,385  ,"23,714","5,764",236,4.1
   Burrton ,SEDGWICK,369  ,"1,389",268,47,17.5
   Cheney ,SEDGWICK,268  ,"3,604",800,66,8.3
   Circle ,SEDGWICK,375  ,"9,278","1,747",160,9.2
   Clearwater ,SEDGWICK,264  ,"6,067","1,301",182,14.0
   Conway Springs ,SEDGWICK,356  ,"2,547",602,81,13.5
   Derby ,SEDGWICK,260  ,"35,848","7,173",707,9.9
   Goddard ,SEDGWICK,265  ,"28,178","6,503",269,4.1
   Halstead ,SEDGWICK,440  ,"4,541",919,83,9.0
   Haven Public Schools ,SEDGWICK,312  ,"5,833","1,131",158,14.0
   Haysville ,SEDGWICK,261  ,"23,472","4,895",620,12.7
   Kingman-Norwich ,SEDGWICK,331  ,"5,689",994,163,16.4
   Maize ,SEDGWICK,266  ,"35,140","8,074",370,4.6
   Mulvane ,SEDGWICK,263  ,"10,113","2,024",207,10.2
   Remington-Whitewater ,SEDGWICK,206  ,"3,705",746,60,8.0
   Renwick ,SEDGWICK,267  ,"8,620","2,242",124,5.5
   Rose Hill Public Schools ,SEDGWICK,394  ,"8,147","1,767",117,6.6
   Sedgwick Public Schools ,SEDGWICK,439  ,"2,186",475,33,6.9
   Valley Center Public Schools ,SEDGWICK,262  ,"14,462","3,083",216,7.0
   Wichita ,SEDGWICK,259  ,"338,113","57,264","11,606",20.3
   Kismet-Plains ,SEWARD,483  ,"2,886",691,120,17.4
   Liberal ,SEWARD,480  ,"19,646","4,424",712,16.1
   Moscow Public Schools ,SEWARD,209  ,708,177,11,6.2
   Satanta ,SEWARD,507  ,"1,652",343,57,16.6
   Sublette ,SEWARD,374  ,"2,234",481,48,10.0
   Auburn-Washburn ,SHAWNEE,437  ,"33,981","6,271",386,6.2
   Jefferson West ,SHAWNEE,340  ,"4,979",905,65,7.2
   Kaw Valley ,SHAWNEE,321  ,"8,199","2,179",186,8.5
   Santa Fe Trail ,SHAWNEE,434  ,"6,121","1,030",152,14.8
   Seaman ,SHAWNEE,345  ,"20,284","3,918",223,5.7
   Shawnee Heights ,SHAWNEE,450  ,"18,981","3,548",197,5.6
   Silver Lake ,SHAWNEE,372  ,"3,383",704,51,7.2
   Topeka Public Schools ,SHAWNEE,501  ,"97,524","15,479","2,573",16.6
   Wabaunsee East ,SHAWNEE,330  ,"3,139",514,39,7.6
   Golden Plains ,SHERIDAN,316  ,781,162,22,13.6
   Grinnell Public Schools ,SHERIDAN,291  ,565,92,20,21.7
   Hoxie Community Schools ,SHERIDAN,412  ,"2,099",347,43,12.4
   Norton Community Schools ,SHERIDAN,211  ,"4,728",629,76,12.1
   Oakley ,SHERIDAN,274  ,"2,690",444,54,12.2
   Oberlin ,SHERIDAN,294  ,"2,677",388,85,21.9
   Quinter Public Schools ,SHERIDAN,293  ,"1,441",293,46,15.7
   Wheatland ,SHERIDAN,292  ,815,139,22,15.8
   Brewster ,SHERMAN,314  ,586,99,7,7.1
   Goodland ,SHERMAN,352  ,"5,838","1,054",177,16.8
   Osborne County ,SMITH,392  ,"1,945",302,66,21.9
   Smith Center ,SMITH,237  ,"2,707",379,59,15.6
   Thunder Ridge ,SMITH,110  ,"1,566",254,41,16.1
   Waconda ,SMITH,272  ,"2,427",383,59,15.4
   Chase-Raymond ,STAFFORD,401  ,844,154,32,20.8
   Ellinwood Public Schools ,STAFFORD,355  ,"2,688",435,38,8.7
   Fairfield ,STAFFORD,310  ,"2,365",413,63,15.3
   Great Bend ,STAFFORD,428  ,"17,906","3,185",512,16.1
   Macksville ,STAFFORD,351  ,"1,261",250,47,18.8
   Skyline Schools ,STAFFORD,438  ,"1,099",228,38,16.7
   St. John-Hudson ,STAFFORD,350  ,"1,742",293,37,12.6
   Stafford ,STAFFORD,349  ,"1,356",202,50,24.8
   Stanton County,STANTON,452  ,"2,019",428,48,11.2
   Hugoton Public Schools ,STEVENS,210  ,"4,837","1,038",134,12.9
   Moscow Public Schools ,STEVENS,209  ,708,177,11,6.2
   Satanta ,STEVENS,507  ,"1,652",343,57,16.6
   Argonia Public Schools ,SUMNER,359  ,971,171,20,11.7
   Arkansas City ,SUMNER,470  ,"16,057","2,876",498,17.3
   Belle Plaine ,SUMNER,357  ,"3,135",586,64,10.9
   Caldwell ,SUMNER,360  ,"1,388",196,37,18.9
   Clearwater ,SUMNER,264  ,"6,067","1,301",182,14.0
   Conway Springs ,SUMNER,356  ,"2,547",602,81,13.5
   Kingman-Norwich ,SUMNER,331  ,"5,689",994,163,16.4
   Mulvane ,SUMNER,263  ,"10,113","2,024",207,10.2
   Oxford ,SUMNER,358  ,"1,785",282,30,10.6
   South Haven ,SUMNER,509  ,834,163,18,11.0
   Udall ,SUMNER,463  ,"1,946",363,46,12.7
   Wellington ,SUMNER,353  ,"9,143","1,668",232,13.9
   Brewster ,THOMAS,314  ,586,99,7,7.1
   Colby Public Schools ,THOMAS,315  ,"6,544","1,036",91,8.8
   Golden Plains ,THOMAS,316  ,781,162,22,13.6
   Grinnell Public Schools ,THOMAS,291  ,565,92,20,21.7
   Oakley ,THOMAS,274  ,"2,690",444,54,12.2
   Triplains ,THOMAS,275  ,470,86,19,22.1
   Ellis ,TREGO,388  ,"2,585",504,50,9.9
   LaCrosse ,TREGO,395  ,"2,109",311,50,16.1
   WaKeeney ,TREGO,208  ,"2,666",361,47,13.0
   Western Plains ,TREGO,106  ,"1,170",174,23,13.2
   Kaw Valley ,WABAUNSEE,321  ,"8,199","2,179",186,8.5
   Manhattan ,WABAUNSEE,383  ,"63,014","6,400",770,12.0
   Mill Creek Valley ,WABAUNSEE,329  ,"3,522",624,46,7.4
   Morris County ,WABAUNSEE,417  ,"4,898",703,105,14.9
   North Lyon County ,WABAUNSEE,251  ,"3,365",605,62,10.2
   Wabaunsee East ,WABAUNSEE,330  ,"3,139",514,39,7.6
   Wamego ,WABAUNSEE,320  ,"8,303","1,613",157,9.7
   Triplains ,WALLACE,275  ,470,86,19,22.1
   Wallace County Schools ,WALLACE,241  ,"1,200",195,36,18.5
   Weskan ,WALLACE,242  ,317,71,9,12.7
   Barnes ,WASHINGTON,223  ,"2,412",388,52,13.4
   Clifton-Clyde ,WASHINGTON,224  ,"1,789",283,37,13.1
   Marysville ,WASHINGTON,364  ,"5,152",880,108,12.3
   North Central-Washington Schools ,WASHINGTON,108  ,"2,475",377,41,10.9
   Republic County-Hillcrest Rural Schools ,WASHINGTON,109  ,"3,563",534,106,19.9
   Valley Heights ,WASHINGTON,498  ,"2,168",385,49,12.7
   Leoti ,WICHITA,467  ,"2,139",430,60,14.0
   Scott County ,WICHITA,466  ,"4,834",981,99,10.1
   Altoona-Midway ,WILSON,387  ,"1,506",238,34,14.3
   Cherryvale ,WILSON,447  ,"3,892",774,147,19.0
   Fredonia ,WILSON,484  ,"4,270",722,121,16.8
   Neodesha ,WILSON,461  ,"3,238",629,98,15.6
   Altoona-Midway ,WOODSON,387  ,"1,506",238,34,14.3
   Eureka ,WOODSON,389  ,"4,058",642,107,16.7
   Fredonia ,WOODSON,484  ,"4,270",722,121,16.8
   Humboldt ,WOODSON,258  ,"2,619",468,67,14.3
   LeRoy-Gridley ,WOODSON,245  ,"1,582",245,30,12.2
   Madison-Virgil ,WOODSON,386  ,"1,223",220,47,21.4
   Woodson ,WOODSON,366  ,"2,605",424,88,20.8
   Bonner Springs ,WYANDOTTE,204  ,"14,179","2,662",446,16.8
   Kansas City ,WYANDOTTE,500  ,"121,127","24,038","7,385",30.7
   Piper,WYANDOTTE,203  ,"10,604","2,167",136,6.3
   Turner,WYANDOTTE,202  ,"19,754","4,060",926,22.8
